2018-01-19 03:30:14 startup archives install
2018-01-19 03:30:14 install base-passwd:armhf <none> 3.5.37
2018-01-19 03:30:14 status half-installed base-passwd:armhf 3.5.37
2018-01-19 03:30:15 status unpacked base-passwd:armhf 3.5.37
2018-01-19 03:30:15 status unpacked base-passwd:armhf 3.5.37
2018-01-19 03:30:15 configure base-passwd:armhf 3.5.37 3.5.37
2018-01-19 03:30:15 status unpacked base-passwd:armhf 3.5.37
2018-01-19 03:30:15 status half-configured base-passwd:armhf 3.5.37
2018-01-19 03:30:17 status installed base-passwd:armhf 3.5.37
2018-01-19 03:30:18 startup archives install
2018-01-19 03:30:19 install base-files:armhf <none> 8+deb8u10
2018-01-19 03:30:19 status half-installed base-files:armhf 8+deb8u10
2018-01-19 03:30:19 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:19 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:19 configure base-files:armhf 8+deb8u10 8+deb8u10
2018-01-19 03:30:19 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:19 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:19 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:19 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:19 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:19 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:19 status half-configured base-files:armhf 8+deb8u10
2018-01-19 03:30:22 status installed base-files:armhf 8+deb8u10
2018-01-19 03:30:23 startup archives install
2018-01-19 03:30:23 upgrade dpkg 1.17.27 1.17.27
2018-01-19 03:30:23 status half-configured dpkg 1.17.27
2018-01-19 03:30:23 status unpacked dpkg 1.17.27
2018-01-19 03:30:23 status half-installed dpkg 1.17.27
2018-01-19 03:30:24 status half-installed dpkg 1.17.27
2018-01-19 03:30:24 status unpacked dpkg 1.17.27
2018-01-19 03:30:24 status unpacked dpkg 1.17.27
2018-01-19 03:30:24 configure dpkg 1.17.27 1.17.27
2018-01-19 03:30:24 status unpacked dpkg 1.17.27
2018-01-19 03:30:24 status unpacked dpkg 1.17.27
2018-01-19 03:30:24 status unpacked dpkg 1.17.27
2018-01-19 03:30:24 status unpacked dpkg 1.17.27
2018-01-19 03:30:24 status unpacked dpkg 1.17.27
2018-01-19 03:30:25 status half-configured dpkg 1.17.27
2018-01-19 03:30:25 status installed dpkg 1.17.27
2018-01-19 03:30:25 startup archives install
2018-01-19 03:30:25 install libc6:armhf <none> 2.19-18+deb8u10
2018-01-19 03:30:25 status half-installed libc6:armhf 2.19-18+deb8u10
2018-01-19 03:30:27 status unpacked libc6:armhf 2.19-18+deb8u10
2018-01-19 03:30:27 status unpacked libc6:armhf 2.19-18+deb8u10
2018-01-19 03:30:27 configure libc6:armhf 2.19-18+deb8u10 2.19-18+deb8u10
2018-01-19 03:30:27 status unpacked libc6:armhf 2.19-18+deb8u10
2018-01-19 03:30:27 status unpacked libc6:armhf 2.19-18+deb8u10
2018-01-19 03:30:27 status half-configured libc6:armhf 2.19-18+deb8u10
2018-01-19 03:30:30 status installed libc6:armhf 2.19-18+deb8u10
2018-01-19 03:30:30 startup archives install
2018-01-19 03:30:30 install perl-base:armhf <none> 5.20.2-3+deb8u9
2018-01-19 03:30:30 status half-installed perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:30:34 status unpacked perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:30:34 status unpacked perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:30:34 configure perl-base:armhf 5.20.2-3+deb8u9 5.20.2-3+deb8u9
2018-01-19 03:30:34 status unpacked perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:30:34 status half-configured perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:30:34 status installed perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:30:34 startup archives install
2018-01-19 03:30:34 install mawk:armhf <none> 1.3.3-17
2018-01-19 03:30:34 status half-installed mawk:armhf 1.3.3-17
2018-01-19 03:30:34 status unpacked mawk:armhf 1.3.3-17
2018-01-19 03:30:34 status unpacked mawk:armhf 1.3.3-17
2018-01-19 03:30:34 configure mawk:armhf 1.3.3-17 1.3.3-17
2018-01-19 03:30:34 status unpacked mawk:armhf 1.3.3-17
2018-01-19 03:30:34 status half-configured mawk:armhf 1.3.3-17
2018-01-19 03:30:34 status installed mawk:armhf 1.3.3-17
2018-01-19 03:30:34 startup archives install
2018-01-19 03:30:35 install debconf:all <none> 1.5.56+deb8u1
2018-01-19 03:30:35 status half-installed debconf:all 1.5.56+deb8u1
2018-01-19 03:30:35 status unpacked debconf:all 1.5.56+deb8u1
2018-01-19 03:30:35 status unpacked debconf:all 1.5.56+deb8u1
2018-01-19 03:30:35 configure debconf:all 1.5.56+deb8u1 1.5.56+deb8u1
2018-01-19 03:30:35 status unpacked debconf:all 1.5.56+deb8u1
2018-01-19 03:30:35 status unpacked debconf:all 1.5.56+deb8u1
2018-01-19 03:30:35 status unpacked debconf:all 1.5.56+deb8u1
2018-01-19 03:30:35 status unpacked debconf:all 1.5.56+deb8u1
2018-01-19 03:30:35 status half-configured debconf:all 1.5.56+deb8u1
2018-01-19 03:30:39 status installed debconf:all 1.5.56+deb8u1
2018-01-19 03:30:41 startup archives unpack
2018-01-19 03:30:41 install acl:armhf <none> 2.2.52-2
2018-01-19 03:30:41 status half-installed acl:armhf 2.2.52-2
2018-01-19 03:30:41 status unpacked acl:armhf 2.2.52-2
2018-01-19 03:30:41 status unpacked acl:armhf 2.2.52-2
2018-01-19 03:30:41 install libacl1:armhf <none> 2.2.52-2
2018-01-19 03:30:41 status half-installed libacl1:armhf 2.2.52-2
2018-01-19 03:30:41 status unpacked libacl1:armhf 2.2.52-2
2018-01-19 03:30:41 status unpacked libacl1:armhf 2.2.52-2
2018-01-19 03:30:42 install adduser:all <none> 3.113+nmu3
2018-01-19 03:30:42 status half-installed adduser:all 3.113+nmu3
2018-01-19 03:30:42 status unpacked adduser:all 3.113+nmu3
2018-01-19 03:30:42 status unpacked adduser:all 3.113+nmu3
2018-01-19 03:30:43 install libattr1:armhf <none> 1:2.4.47-2
2018-01-19 03:30:43 status half-installed libattr1:armhf 1:2.4.47-2
2018-01-19 03:30:43 status unpacked libattr1:armhf 1:2.4.47-2
2018-01-19 03:30:43 status unpacked libattr1:armhf 1:2.4.47-2
2018-01-19 03:30:43 install libaudit-common:all <none> 1:2.4-1
2018-01-19 03:30:43 status half-installed libaudit-common:all 1:2.4-1
2018-01-19 03:30:43 status unpacked libaudit-common:all 1:2.4-1
2018-01-19 03:30:43 status unpacked libaudit-common:all 1:2.4-1
2018-01-19 03:30:43 install libaudit1:armhf <none> 1:2.4-1+b1
2018-01-19 03:30:43 status half-installed libaudit1:armhf 1:2.4-1+b1
2018-01-19 03:30:43 status unpacked libaudit1:armhf 1:2.4-1+b1
2018-01-19 03:30:43 status unpacked libaudit1:armhf 1:2.4-1+b1
2018-01-19 03:30:44 upgrade base-files:armhf 8+deb8u10 8+deb8u10
2018-01-19 03:30:44 status half-configured base-files:armhf 8+deb8u10
2018-01-19 03:30:44 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:44 status half-installed base-files:armhf 8+deb8u10
2018-01-19 03:30:44 status half-installed base-files:armhf 8+deb8u10
2018-01-19 03:30:44 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:44 status unpacked base-files:armhf 8+deb8u10
2018-01-19 03:30:44 upgrade base-passwd:armhf 3.5.37 3.5.37
2018-01-19 03:30:44 status half-configured base-passwd:armhf 3.5.37
2018-01-19 03:30:44 status unpacked base-passwd:armhf 3.5.37
2018-01-19 03:30:44 status half-installed base-passwd:armhf 3.5.37
2018-01-19 03:30:44 status half-installed base-passwd:armhf 3.5.37
2018-01-19 03:30:44 status unpacked base-passwd:armhf 3.5.37
2018-01-19 03:30:44 status unpacked base-passwd:armhf 3.5.37
2018-01-19 03:30:44 install bash:armhf <none> 4.3-11+deb8u1
2018-01-19 03:30:44 status half-installed bash:armhf 4.3-11+deb8u1
2018-01-19 03:30:45 status unpacked bash:armhf 4.3-11+deb8u1
2018-01-19 03:30:45 status unpacked bash:armhf 4.3-11+deb8u1
2018-01-19 03:30:46 install libbz2-1.0:armhf <none> 1.0.6-7+b3
2018-01-19 03:30:46 status half-installed libbz2-1.0:armhf 1.0.6-7+b3
2018-01-19 03:30:46 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2018-01-19 03:30:46 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2018-01-19 03:30:46 install libdebconfclient0:armhf <none> 0.192
2018-01-19 03:30:46 status half-installed libdebconfclient0:armhf 0.192
2018-01-19 03:30:46 status unpacked libdebconfclient0:armhf 0.192
2018-01-19 03:30:46 status unpacked libdebconfclient0:armhf 0.192
2018-01-19 03:30:46 install coreutils:armhf <none> 8.23-4
2018-01-19 03:30:46 status half-installed coreutils:armhf 8.23-4
2018-01-19 03:30:49 status unpacked coreutils:armhf 8.23-4
2018-01-19 03:30:49 status unpacked coreutils:armhf 8.23-4
2018-01-19 03:30:49 install libcryptsetup4:armhf <none> 2:1.6.6-5
2018-01-19 03:30:49 status half-installed libcryptsetup4:armhf 2:1.6.6-5
2018-01-19 03:30:49 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2018-01-19 03:30:49 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2018-01-19 03:30:49 install dash:armhf <none> 0.5.7-4+b1
2018-01-19 03:30:49 status half-installed dash:armhf 0.5.7-4+b1
2018-01-19 03:30:50 status unpacked dash:armhf 0.5.7-4+b1
2018-01-19 03:30:50 status unpacked dash:armhf 0.5.7-4+b1
2018-01-19 03:30:50 install libdb5.3:armhf <none> 5.3.28-9+deb8u1
2018-01-19 03:30:50 status half-installed libdb5.3:armhf 5.3.28-9+deb8u1
2018-01-19 03:30:50 status unpacked libdb5.3:armhf 5.3.28-9+deb8u1
2018-01-19 03:30:50 status unpacked libdb5.3:armhf 5.3.28-9+deb8u1
2018-01-19 03:30:50 upgrade debconf:all 1.5.56+deb8u1 1.5.56+deb8u1
2018-01-19 03:30:50 status half-configured debconf:all 1.5.56+deb8u1
2018-01-19 03:30:51 status unpacked debconf:all 1.5.56+deb8u1
2018-01-19 03:30:51 status half-installed debconf:all 1.5.56+deb8u1
2018-01-19 03:30:51 status half-installed debconf:all 1.5.56+deb8u1
2018-01-19 03:30:51 status unpacked debconf:all 1.5.56+deb8u1
2018-01-19 03:30:51 status unpacked debconf:all 1.5.56+deb8u1
2018-01-19 03:30:51 install debconf-i18n:all <none> 1.5.56+deb8u1
2018-01-19 03:30:51 status half-installed debconf-i18n:all 1.5.56+deb8u1
2018-01-19 03:30:52 status unpacked debconf-i18n:all 1.5.56+deb8u1
2018-01-19 03:30:52 status unpacked debconf-i18n:all 1.5.56+deb8u1
2018-01-19 03:30:52 install debianutils:armhf <none> 4.4+b1
2018-01-19 03:30:52 status half-installed debianutils:armhf 4.4+b1
2018-01-19 03:30:52 status unpacked debianutils:armhf 4.4+b1
2018-01-19 03:30:52 status unpacked debianutils:armhf 4.4+b1
2018-01-19 03:30:52 install diffutils:armhf <none> 1:3.3-1+b1
2018-01-19 03:30:52 status half-installed diffutils:armhf 1:3.3-1+b1
2018-01-19 03:30:53 status unpacked diffutils:armhf 1:3.3-1+b1
2018-01-19 03:30:53 status unpacked diffutils:armhf 1:3.3-1+b1
2018-01-19 03:30:53 upgrade dpkg:armhf 1.17.27 1.17.27
2018-01-19 03:30:53 status half-configured dpkg:armhf 1.17.27
2018-01-19 03:30:53 status unpacked dpkg:armhf 1.17.27
2018-01-19 03:30:53 status half-installed dpkg:armhf 1.17.27
2018-01-19 03:30:54 status half-installed dpkg:armhf 1.17.27
2018-01-19 03:30:54 status unpacked dpkg:armhf 1.17.27
2018-01-19 03:30:54 status unpacked dpkg:armhf 1.17.27
2018-01-19 03:30:55 install e2fslibs:armhf <none> 1.42.12-2+b1
2018-01-19 03:30:55 status half-installed e2fslibs:armhf 1.42.12-2+b1
2018-01-19 03:30:55 status unpacked e2fslibs:armhf 1.42.12-2+b1
2018-01-19 03:30:55 status unpacked e2fslibs:armhf 1.42.12-2+b1
2018-01-19 03:30:55 install e2fsprogs:armhf <none> 1.42.12-2+b1
2018-01-19 03:30:55 status half-installed e2fsprogs:armhf 1.42.12-2+b1
2018-01-19 03:30:56 status unpacked e2fsprogs:armhf 1.42.12-2+b1
2018-01-19 03:30:56 status unpacked e2fsprogs:armhf 1.42.12-2+b1
2018-01-19 03:30:56 install libcomerr2:armhf <none> 1.42.12-2+b1
2018-01-19 03:30:56 status half-installed libcomerr2:armhf 1.42.12-2+b1
2018-01-19 03:30:56 status unpacked libcomerr2:armhf 1.42.12-2+b1
2018-01-19 03:30:56 status unpacked libcomerr2:armhf 1.42.12-2+b1
2018-01-19 03:30:56 install libss2:armhf <none> 1.42.12-2+b1
2018-01-19 03:30:56 status half-installed libss2:armhf 1.42.12-2+b1
2018-01-19 03:30:56 status unpacked libss2:armhf 1.42.12-2+b1
2018-01-19 03:30:56 status unpacked libss2:armhf 1.42.12-2+b1
2018-01-19 03:30:56 install findutils:armhf <none> 4.4.2-9+b1
2018-01-19 03:30:56 status half-installed findutils:armhf 4.4.2-9+b1
2018-01-19 03:30:57 status unpacked findutils:armhf 4.4.2-9+b1
2018-01-19 03:30:57 status unpacked findutils:armhf 4.4.2-9+b1
2018-01-19 03:30:57 install gcc-4.8-base:armhf <none> 4.8.4-1
2018-01-19 03:30:57 status half-installed gcc-4.8-base:armhf 4.8.4-1
2018-01-19 03:30:57 status unpacked gcc-4.8-base:armhf 4.8.4-1
2018-01-19 03:30:57 status unpacked gcc-4.8-base:armhf 4.8.4-1
2018-01-19 03:30:57 install gcc-4.9-base:armhf <none> 4.9.2-10
2018-01-19 03:30:57 status half-installed gcc-4.9-base:armhf 4.9.2-10
2018-01-19 03:30:57 status unpacked gcc-4.9-base:armhf 4.9.2-10
2018-01-19 03:30:57 status unpacked gcc-4.9-base:armhf 4.9.2-10
2018-01-19 03:30:57 install libgcc1:armhf <none> 1:4.9.2-10
2018-01-19 03:30:57 status half-installed libgcc1:armhf 1:4.9.2-10
2018-01-19 03:30:57 status unpacked libgcc1:armhf 1:4.9.2-10
2018-01-19 03:30:57 status unpacked libgcc1:armhf 1:4.9.2-10
2018-01-19 03:30:57 install libc-bin:armhf <none> 2.19-18+deb8u10
2018-01-19 03:30:57 status half-installed libc-bin:armhf 2.19-18+deb8u10
2018-01-19 03:30:58 status unpacked libc-bin:armhf 2.19-18+deb8u10
2018-01-19 03:30:58 status unpacked libc-bin:armhf 2.19-18+deb8u10
2018-01-19 03:30:58 upgrade libc6:armhf 2.19-18+deb8u10 2.19-18+deb8u10
2018-01-19 03:30:58 status half-configured libc6:armhf 2.19-18+deb8u10
2018-01-19 03:30:58 status unpacked libc6:armhf 2.19-18+deb8u10
2018-01-19 03:30:58 status half-installed libc6:armhf 2.19-18+deb8u10
2018-01-19 03:31:01 status half-installed libc6:armhf 2.19-18+deb8u10
2018-01-19 03:31:01 status unpacked libc6:armhf 2.19-18+deb8u10
2018-01-19 03:31:01 status unpacked libc6:armhf 2.19-18+deb8u10
2018-01-19 03:31:01 install multiarch-support:armhf <none> 2.19-18+deb8u10
2018-01-19 03:31:01 status half-installed multiarch-support:armhf 2.19-18+deb8u10
2018-01-19 03:31:02 status unpacked multiarch-support:armhf 2.19-18+deb8u10
2018-01-19 03:31:02 status unpacked multiarch-support:armhf 2.19-18+deb8u10
2018-01-19 03:31:02 install grep:armhf <none> 2.20-4.1
2018-01-19 03:31:02 status half-installed grep:armhf 2.20-4.1
2018-01-19 03:31:02 status unpacked grep:armhf 2.20-4.1
2018-01-19 03:31:02 status unpacked grep:armhf 2.20-4.1
2018-01-19 03:31:02 install gzip:armhf <none> 1.6-4
2018-01-19 03:31:02 status half-installed gzip:armhf 1.6-4
2018-01-19 03:31:02 status unpacked gzip:armhf 1.6-4
2018-01-19 03:31:02 status unpacked gzip:armhf 1.6-4
2018-01-19 03:31:02 install hostname:armhf <none> 3.15
2018-01-19 03:31:02 status half-installed hostname:armhf 3.15
2018-01-19 03:31:03 status unpacked hostname:armhf 3.15
2018-01-19 03:31:03 status unpacked hostname:armhf 3.15
2018-01-19 03:31:03 install init:armhf <none> 1.22
2018-01-19 03:31:03 status half-installed init:armhf 1.22
2018-01-19 03:31:03 status unpacked init:armhf 1.22
2018-01-19 03:31:03 status unpacked init:armhf 1.22
2018-01-19 03:31:03 install insserv:armhf <none> 1.14.0-5
2018-01-19 03:31:03 status half-installed insserv:armhf 1.14.0-5
2018-01-19 03:31:03 status unpacked insserv:armhf 1.14.0-5
2018-01-19 03:31:03 status unpacked insserv:armhf 1.14.0-5
2018-01-19 03:31:03 install libkmod2:armhf <none> 18-3
2018-01-19 03:31:03 status half-installed libkmod2:armhf 18-3
2018-01-19 03:31:03 status unpacked libkmod2:armhf 18-3
2018-01-19 03:31:03 status unpacked libkmod2:armhf 18-3
2018-01-19 03:31:03 install libcap2:armhf <none> 1:2.24-8
2018-01-19 03:31:03 status half-installed libcap2:armhf 1:2.24-8
2018-01-19 03:31:03 status unpacked libcap2:armhf 1:2.24-8
2018-01-19 03:31:03 status unpacked libcap2:armhf 1:2.24-8
2018-01-19 03:31:03 install libcap2-bin:armhf <none> 1:2.24-8
2018-01-19 03:31:03 status half-installed libcap2-bin:armhf 1:2.24-8
2018-01-19 03:31:04 status unpacked libcap2-bin:armhf 1:2.24-8
2018-01-19 03:31:04 status unpacked libcap2-bin:armhf 1:2.24-8
2018-01-19 03:31:04 install libgcrypt20:armhf <none> 1.6.3-2+deb8u4
2018-01-19 03:31:04 status half-installed libgcrypt20:armhf 1.6.3-2+deb8u4
2018-01-19 03:31:04 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u4
2018-01-19 03:31:04 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u4
2018-01-19 03:31:04 install libgpg-error0:armhf <none> 1.17-3
2018-01-19 03:31:04 status half-installed libgpg-error0:armhf 1.17-3
2018-01-19 03:31:04 status unpacked libgpg-error0:armhf 1.17-3
2018-01-19 03:31:04 status unpacked libgpg-error0:armhf 1.17-3
2018-01-19 03:31:04 install liblocale-gettext-perl:armhf <none> 1.05-8+b1
2018-01-19 03:31:04 status half-installed liblocale-gettext-perl:armhf 1.05-8+b1
2018-01-19 03:31:05 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2018-01-19 03:31:05 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2018-01-19 03:31:05 install libselinux1:armhf <none> 2.3-2
2018-01-19 03:31:05 status half-installed libselinux1:armhf 2.3-2
2018-01-19 03:31:05 status unpacked libselinux1:armhf 2.3-2
2018-01-19 03:31:05 status unpacked libselinux1:armhf 2.3-2
2018-01-19 03:31:05 install libsemanage-common:all <none> 2.3-1
2018-01-19 03:31:05 status half-installed libsemanage-common:all 2.3-1
2018-01-19 03:31:05 status unpacked libsemanage-common:all 2.3-1
2018-01-19 03:31:05 status unpacked libsemanage-common:all 2.3-1
2018-01-19 03:31:05 install libsemanage1:armhf <none> 2.3-1+b1
2018-01-19 03:31:05 status half-installed libsemanage1:armhf 2.3-1+b1
2018-01-19 03:31:05 status unpacked libsemanage1:armhf 2.3-1+b1
2018-01-19 03:31:05 status unpacked libsemanage1:armhf 2.3-1+b1
2018-01-19 03:31:06 install libsepol1:armhf <none> 2.3-2
2018-01-19 03:31:06 status half-installed libsepol1:armhf 2.3-2
2018-01-19 03:31:06 status unpacked libsepol1:armhf 2.3-2
2018-01-19 03:31:06 status unpacked libsepol1:armhf 2.3-2
2018-01-19 03:31:06 install libtext-charwidth-perl:armhf <none> 0.04-7+b4
2018-01-19 03:31:06 status half-installed libtext-charwidth-perl:armhf 0.04-7+b4
2018-01-19 03:31:06 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2018-01-19 03:31:06 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2018-01-19 03:31:06 install libtext-iconv-perl:armhf <none> 1.7-5+b2
2018-01-19 03:31:06 status half-installed libtext-iconv-perl:armhf 1.7-5+b2
2018-01-19 03:31:06 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2018-01-19 03:31:06 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2018-01-19 03:31:06 install libtext-wrapi18n-perl:all <none> 0.06-7
2018-01-19 03:31:06 status half-installed libtext-wrapi18n-perl:all 0.06-7
2018-01-19 03:31:06 status unpacked libtext-wrapi18n-perl:all 0.06-7
2018-01-19 03:31:06 status unpacked libtext-wrapi18n-perl:all 0.06-7
2018-01-19 03:31:06 install lsb-base:all <none> 4.1+Debian13+nmu1
2018-01-19 03:31:06 status half-installed lsb-base:all 4.1+Debian13+nmu1
2018-01-19 03:31:06 status unpacked lsb-base:all 4.1+Debian13+nmu1
2018-01-19 03:31:06 status unpacked lsb-base:all 4.1+Debian13+nmu1
2018-01-19 03:31:07 install dmsetup:armhf <none> 2:1.02.90-2.2+deb8u1
2018-01-19 03:31:07 status half-installed dmsetup:armhf 2:1.02.90-2.2+deb8u1
