2016-05-26 06:07:38 startup archives install
2016-05-26 06:07:38 install base-passwd:armhf <none> 3.5.37
2016-05-26 06:07:38 status half-installed base-passwd:armhf 3.5.37
2016-05-26 06:07:38 status unpacked base-passwd:armhf 3.5.37
2016-05-26 06:07:38 status unpacked base-passwd:armhf 3.5.37
2016-05-26 06:07:38 configure base-passwd:armhf 3.5.37 3.5.37
2016-05-26 06:07:38 status unpacked base-passwd:armhf 3.5.37
2016-05-26 06:07:38 status half-configured base-passwd:armhf 3.5.37
2016-05-26 06:07:39 status installed base-passwd:armhf 3.5.37
2016-05-26 06:07:39 startup archives install
2016-05-26 06:07:39 install base-files:armhf <none> 8+deb8u4
2016-05-26 06:07:39 status half-installed base-files:armhf 8+deb8u4
2016-05-26 06:07:39 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:39 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:39 configure base-files:armhf 8+deb8u4 8+deb8u4
2016-05-26 06:07:39 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:39 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:39 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:39 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:39 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:39 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:39 status half-configured base-files:armhf 8+deb8u4
2016-05-26 06:07:40 status installed base-files:armhf 8+deb8u4
2016-05-26 06:07:40 startup archives install
2016-05-26 06:07:40 upgrade dpkg 1.17.26 1.17.26
2016-05-26 06:07:40 status half-configured dpkg 1.17.26
2016-05-26 06:07:40 status unpacked dpkg 1.17.26
2016-05-26 06:07:40 status half-installed dpkg 1.17.26
2016-05-26 06:07:40 status half-installed dpkg 1.17.26
2016-05-26 06:07:40 status unpacked dpkg 1.17.26
2016-05-26 06:07:40 status unpacked dpkg 1.17.26
2016-05-26 06:07:40 configure dpkg 1.17.26 1.17.26
2016-05-26 06:07:40 status unpacked dpkg 1.17.26
2016-05-26 06:07:40 status unpacked dpkg 1.17.26
2016-05-26 06:07:40 status unpacked dpkg 1.17.26
2016-05-26 06:07:40 status unpacked dpkg 1.17.26
2016-05-26 06:07:40 status unpacked dpkg 1.17.26
2016-05-26 06:07:40 status half-configured dpkg 1.17.26
2016-05-26 06:07:40 status installed dpkg 1.17.26
2016-05-26 06:07:41 startup archives install
2016-05-26 06:07:41 install libc6:armhf <none> 2.19-18+deb8u4
2016-05-26 06:07:41 status half-installed libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:41 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:41 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:41 configure libc6:armhf 2.19-18+deb8u4 2.19-18+deb8u4
2016-05-26 06:07:41 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:41 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:41 status half-configured libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:42 status installed libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:42 startup archives install
2016-05-26 06:07:42 install perl-base:armhf <none> 5.20.2-3+deb8u4
2016-05-26 06:07:42 status half-installed perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:07:44 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:07:44 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:07:44 configure perl-base:armhf 5.20.2-3+deb8u4 5.20.2-3+deb8u4
2016-05-26 06:07:44 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:07:44 status half-configured perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:07:44 status installed perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:07:45 startup archives install
2016-05-26 06:07:45 install mawk:armhf <none> 1.3.3-17
2016-05-26 06:07:45 status half-installed mawk:armhf 1.3.3-17
2016-05-26 06:07:45 status unpacked mawk:armhf 1.3.3-17
2016-05-26 06:07:45 status unpacked mawk:armhf 1.3.3-17
2016-05-26 06:07:45 configure mawk:armhf 1.3.3-17 1.3.3-17
2016-05-26 06:07:45 status unpacked mawk:armhf 1.3.3-17
2016-05-26 06:07:45 status half-configured mawk:armhf 1.3.3-17
2016-05-26 06:07:45 status installed mawk:armhf 1.3.3-17
2016-05-26 06:07:45 startup archives install
2016-05-26 06:07:45 install debconf:all <none> 1.5.56
2016-05-26 06:07:45 status half-installed debconf:all 1.5.56
2016-05-26 06:07:45 status unpacked debconf:all 1.5.56
2016-05-26 06:07:45 status unpacked debconf:all 1.5.56
2016-05-26 06:07:45 configure debconf:all 1.5.56 1.5.56
2016-05-26 06:07:45 status unpacked debconf:all 1.5.56
2016-05-26 06:07:45 status unpacked debconf:all 1.5.56
2016-05-26 06:07:45 status unpacked debconf:all 1.5.56
2016-05-26 06:07:45 status unpacked debconf:all 1.5.56
2016-05-26 06:07:45 status half-configured debconf:all 1.5.56
2016-05-26 06:07:46 status installed debconf:all 1.5.56
2016-05-26 06:07:46 startup archives unpack
2016-05-26 06:07:46 install acl:armhf <none> 2.2.52-2
2016-05-26 06:07:46 status half-installed acl:armhf 2.2.52-2
2016-05-26 06:07:47 status unpacked acl:armhf 2.2.52-2
2016-05-26 06:07:47 status unpacked acl:armhf 2.2.52-2
2016-05-26 06:07:47 install libacl1:armhf <none> 2.2.52-2
2016-05-26 06:07:47 status half-installed libacl1:armhf 2.2.52-2
2016-05-26 06:07:47 status unpacked libacl1:armhf 2.2.52-2
2016-05-26 06:07:47 status unpacked libacl1:armhf 2.2.52-2
2016-05-26 06:07:47 install adduser:all <none> 3.113+nmu3
2016-05-26 06:07:47 status half-installed adduser:all 3.113+nmu3
2016-05-26 06:07:47 status unpacked adduser:all 3.113+nmu3
2016-05-26 06:07:47 status unpacked adduser:all 3.113+nmu3
2016-05-26 06:07:47 install libattr1:armhf <none> 1:2.4.47-2
2016-05-26 06:07:47 status half-installed libattr1:armhf 1:2.4.47-2
2016-05-26 06:07:47 status unpacked libattr1:armhf 1:2.4.47-2
2016-05-26 06:07:47 status unpacked libattr1:armhf 1:2.4.47-2
2016-05-26 06:07:47 install libaudit-common:all <none> 1:2.4-1
2016-05-26 06:07:47 status half-installed libaudit-common:all 1:2.4-1
2016-05-26 06:07:47 status unpacked libaudit-common:all 1:2.4-1
2016-05-26 06:07:47 status unpacked libaudit-common:all 1:2.4-1
2016-05-26 06:07:47 install libaudit1:armhf <none> 1:2.4-1+b1
2016-05-26 06:07:47 status half-installed libaudit1:armhf 1:2.4-1+b1
2016-05-26 06:07:47 status unpacked libaudit1:armhf 1:2.4-1+b1
2016-05-26 06:07:47 status unpacked libaudit1:armhf 1:2.4-1+b1
2016-05-26 06:07:47 upgrade base-files:armhf 8+deb8u4 8+deb8u4
2016-05-26 06:07:47 status half-configured base-files:armhf 8+deb8u4
2016-05-26 06:07:47 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:47 status half-installed base-files:armhf 8+deb8u4
2016-05-26 06:07:47 status half-installed base-files:armhf 8+deb8u4
2016-05-26 06:07:47 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:47 status unpacked base-files:armhf 8+deb8u4
2016-05-26 06:07:47 upgrade base-passwd:armhf 3.5.37 3.5.37
2016-05-26 06:07:47 status half-configured base-passwd:armhf 3.5.37
2016-05-26 06:07:47 status unpacked base-passwd:armhf 3.5.37
2016-05-26 06:07:47 status half-installed base-passwd:armhf 3.5.37
2016-05-26 06:07:47 status half-installed base-passwd:armhf 3.5.37
2016-05-26 06:07:48 status unpacked base-passwd:armhf 3.5.37
2016-05-26 06:07:48 status unpacked base-passwd:armhf 3.5.37
2016-05-26 06:07:48 install bash:armhf <none> 4.3-11+b1
2016-05-26 06:07:48 status half-installed bash:armhf 4.3-11+b1
2016-05-26 06:07:48 status unpacked bash:armhf 4.3-11+b1
2016-05-26 06:07:48 status unpacked bash:armhf 4.3-11+b1
2016-05-26 06:07:48 install libbz2-1.0:armhf <none> 1.0.6-7+b3
2016-05-26 06:07:48 status half-installed libbz2-1.0:armhf 1.0.6-7+b3
2016-05-26 06:07:48 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2016-05-26 06:07:48 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2016-05-26 06:07:48 install libdebconfclient0:armhf <none> 0.192
2016-05-26 06:07:48 status half-installed libdebconfclient0:armhf 0.192
2016-05-26 06:07:48 status unpacked libdebconfclient0:armhf 0.192
2016-05-26 06:07:48 status unpacked libdebconfclient0:armhf 0.192
2016-05-26 06:07:48 install coreutils:armhf <none> 8.23-4
2016-05-26 06:07:48 status half-installed coreutils:armhf 8.23-4
2016-05-26 06:07:49 status unpacked coreutils:armhf 8.23-4
2016-05-26 06:07:49 status unpacked coreutils:armhf 8.23-4
2016-05-26 06:07:49 install libcryptsetup4:armhf <none> 2:1.6.6-5
2016-05-26 06:07:49 status half-installed libcryptsetup4:armhf 2:1.6.6-5
2016-05-26 06:07:50 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2016-05-26 06:07:50 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2016-05-26 06:07:50 install dash:armhf <none> 0.5.7-4+b1
2016-05-26 06:07:50 status half-installed dash:armhf 0.5.7-4+b1
2016-05-26 06:07:50 status unpacked dash:armhf 0.5.7-4+b1
2016-05-26 06:07:50 status unpacked dash:armhf 0.5.7-4+b1
2016-05-26 06:07:50 install libdb5.3:armhf <none> 5.3.28-9
2016-05-26 06:07:50 status half-installed libdb5.3:armhf 5.3.28-9
2016-05-26 06:07:50 status unpacked libdb5.3:armhf 5.3.28-9
2016-05-26 06:07:50 status unpacked libdb5.3:armhf 5.3.28-9
2016-05-26 06:07:50 upgrade debconf:all 1.5.56 1.5.56
2016-05-26 06:07:50 status half-configured debconf:all 1.5.56
2016-05-26 06:07:51 status unpacked debconf:all 1.5.56
2016-05-26 06:07:51 status half-installed debconf:all 1.5.56
2016-05-26 06:07:51 status half-installed debconf:all 1.5.56
2016-05-26 06:07:51 status unpacked debconf:all 1.5.56
